ID,Release_Date,Title,TITLE,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,,,,
122,11 February 2022,Love Tactics,Love Tactics,244.573,83,6.7,Turkish,Romance,,,,
123,01 October 2021,The Addams Family 2,The Addams Family 2,244.18,785,7.2,English,Animation,,,,
124,27 April 2021,Dynasty Warriors,Dynasty Warriors,242.342,84,6.5,Chinese,Action,,,,
125,15 May 2021,Miraculous World: Shanghai ‚Äì The Legend of Ladydragon,Miraculous World: Shanghai ¬Äì The Legend Of Ladydragon,241.638,411,7.9,French,Animation,,,,
126,21 November 2020,"Miraculous World: New York, United HeroeZ","Miraculous World: New York, United Heroez",240.048,862,8.3,French,Animation, TV Movie,,,
127,03 March 2022,Surviving Paradise: A Family Tale,Surviving Paradise: A Family Tale,240.002,7,6.9,English,Documentary,,,,
128,20 December 2019,My Hero Academia: Heroes Rising,My Hero Academia: Heroes Rising,239.599,890,8.4,Japanese,Animation,,,,
129,04 November 2021,Amina,Amina,237.262,92,6.5,English,War,,,,
130,03 December 2021,Encounter,Encounter,235.482,256,6.4,English,Adventure,,,,
131,06 August 2021,Son,Son,232.494,90,6,English,Horror,,,,
132,16 December 2020,Wonder Woman 1984,Wonder Woman 1984,231.756,6599,6.6,English,Action,,,,
133,16 April 2014,The Amazing Spider-Man 2,The Amazing Spider-Man 2,231.441,10763,6.5,English,Action,,,,
134,02 December 2021,The Whole Truth,The Whole Truth,231.334,109,6.5,Thai,Horror,,,,
135,07 February 2022,Catwoman: Hunted,Catwoman: Hunted,231.061,26,6.2,English,Animation,,,,
136,07 October 2016,Hacksaw Ridge,Hacksaw Ridge,230.758,10667,8.2,English,Drama,,,,
137,06 May 2021,Crazy Fist,Crazy Fist,230.547,44,7.3,Chinese,Action,,,,
138,16 November 2001,Harry Potter and the Philosopher's Stone,Harry Potter And The Philosopher'S Stone,230,22210,7.9,English,Adventure,,,,
139,25 April 2012,The Avengers,The Avengers,229.772,26490,7.7,English,Science Fiction,,,,
140,15 June 2021,Dragon Fury,Dragon Fury,229.215,34,6.1,English,Horror,,,,
141,29 July 2021,Tarumama,Tarumama,228.895,19,5.1,Spanish,Horror,,,,
142,25 October 2016,Doctor Strange,Doctor Strange,228.266,18471,7.4,English,Action,,,,
143,14 October 2021,Halloween Kills,Halloween Kills,227.825,1585,6.8,English,Horror,,,,
144,10 February 2022,The Exorcism of God,The Exorcism Of God,226.771,7,5.6,English,Horror,,,,
145,28 June 2019,Spider-Man: Far From Home,Spider-Man: Far From Home,224.034,12176,7.5,English,Action,,,,
146,01 January 2022,Harry Potter 20th Anniversary: Return to Hogwarts,Harry Potter 20Th Anniversary: Return To Hogwarts,222.907,1105,8,English,Documentary,,,,
147,02 September 2020,After We Collided,After We Collided,221.992,4481,7.3,English,Romance,,,,
148,17 February 2022,The Desperate Hour,The Desperate Hour,221.838,21,5.8,English,Thriller,,,,
149,18 April 2015,Dragon Ball Z: Resurrection 'F',Dragon Ball Z: Resurrection 'F',220.049,1361,6.8,Japanese,Action,,,,
150,28 October 2021,Seal Team,Seal Team,220.017,126,7.1,English,Animation,,,,
151,19 March 2009,Knowing,Knowing,218.406,4251,6.1,English,Action,,,,
152,01 October 2021,Witch Hunt,Witch Hunt,217.266,145,7.2,English,Fantasy,,,,
153,10 September 2014,The Maze Runner,The Maze Runner,215.466,14398,7.2,English,Action,,,,
154,31 March 2021,The Unholy,The Unholy,214.999,1543,6.8,English,Horror,,,,
155,19 December 2019,Ashfall,Ashfall,212.134,357,6.6,Korean,Action,,,,
156,11 February 2022,The Sky Is Everywhere,The Sky Is Everywhere,211.618,16,5.8,English,Drama,,,,
